COL	10,730,000	14,077,070	1.3119	27.34%	0.09%	0.10%
FIRSTMET	5,863,000	7,703,400	1.3139	14.96%		
PHLSTOCK	2,294,000	3,016,810	1.3151	5.86%		
ABACUS	2,215,000	2,882,320	1.3013	5.60%		
APS	2,000,000	2,597,000	1.2985	5.04%		
WEALTH	2,000,000	2,619,500	1.3097	5.09%		
TIMSON	1,883,000	2,468,270	1.3108	4.79%		
STARALL	1,677,000	2,163,230	1.2899	4.20%		
BPI	1,395,000	1,822,940	1.3068	3.54%	0.07%	0.07%
AAA	969,000	1,237,920	1.2775	2.40%		
YU	960,000	1,271,960	1.325	2.47%		
SB-EQTY	895,000	1,171,140	1.3085	2.27%		
BDONOM	826,000	1,085,590	1.3143	2.11%	4.84%	4.85%
CITISEC	750,000	962,500	1.2833	1.87%		
F_YAP	631,000	833,510	1.3209	1.62%		
ASTRA	600,000	783,320	1.3055	1.52%		
VALUEQST	500,000	646,000	1.292	1.25%		
BELSON	500,000	655,000	1.31	1.27%		
MAYBANK	408,000	547,080	1.3409	1.06%		
FIDELITY	326,000	419,690	1.2874	0.82%		
DAMARKET	300,000	391,000	1.3033	0.76%		
LUY'S	250,000	328,500	1.314	0.64%		
HDI	202,000	264,660	1.3102	0.51%		
IGC	200,000	264,000	1.32	0.51%		
S_SPCLST	198,000	258,620	1.3062	0.50%		
UNICAP	185,000	243,300	1.3151	0.47%		
RCBC	150,000	200,000	1.3333	0.39%		
ABCAPSEC	123,000	158,140	1.2857	0.31%		
EVERGRN	106,000	137,560	1.2977	0.27%		
LUCKY	100,000	128,000	1.28	0.25%		
PAPA	73,000	96,860	1.3268	0.19%		
QUALITY	20,000	26,000	1.3	0.05%		
TRITON	10,000	12,800	1.28	0.02%		
SALISBUR	5,000	6,500	1.3	0.01%		
						
COL	9,800,000	12,823,620	1.3085	24.91%		
PHLSTOCK	5,221,000	6,859,040	1.3137	13.32%		
ABACUS	4,314,000	5,631,220	1.3053	10.94%		
FIRSTMET	2,642,000	3,457,350	1.3086	6.72%		
ABCAPSEC	2,300,000	3,032,910	1.3187	5.89%	0.87%	0.83%
AAA	1,761,000	2,301,810	1.3071	4.47%		
TIMSON	1,300,000	1,714,230	1.3186	3.33%		
STARALL	1,233,000	1,586,740	1.2869	3.08%		
APS	1,063,000	1,398,670	1.3158	2.72%		
VALUEQST	1,000,000	1,295,720	1.2957	2.52%		
STANDARD	850,000	1,115,000	1.3118	2.17%		
BPI	606,000	790,890	1.3051	1.54%	8.25%	8.22%
ASTRA	602,000	792,680	1.3167	1.54%		
BDO	600,000	770,000	1.2833	1.50%		
HDI	550,000	726,500	1.3209	1.41%		
BDONOM	535,000	698,130	1.3049	1.36%	3.55%	3.53%
JSG	510,000	669,900	1.3135	1.30%		
BELSON	400,000	522,000	1.305	1.01%		
LUY'S	350,000	449,500	1.2843	0.87%		
MAYBANK	335,000	440,470	1.3148	0.86%		
FIDELITY	326,000	428,020	1.3129	0.83%		
MTPEAK	250,000	320,000	1.28	0.62%		
S_SPCLST	239,000	317,190	1.3272	0.62%		
PNB	220,000	280,400	1.2745	0.54%		
SB-EQTY	220,000	288,900	1.3132	0.56%		
NEW_WRLD	211,000	280,740	1.3305	0.55%		
GOLDSTAR	200,000	256,000	1.28	0.50%		
TOWER	150,000	200,500	1.3367	0.39%		
WESTLINK	140,000	183,200	1.3086	0.36%		
F_YAP	112,000	146,920	1.3118	0.29%		
WEALTH	110,000	146,200	1.3291	0.28%		
R_NUBLA	100,000	128,000	1.28	0.25%		
JAKA	100,000	131,000	1.31	0.25%		
YU	100,000	125,000	1.25	0.24%		
UNICAP	100,000	131,520	1.3152	0.26%	80.00%	80.29%
YAO	80,000	106,750	1.3344	0.21%		
REGINA	80,000	104,600	1.3075	0.20%		
BENNETT	75,000	98,750	1.3167	0.19%		
ANSALDO	70,000	90,500	1.2929	0.18%		
QUALITY	70,000	88,500	1.2643	0.17%		
SUN	50,000	66,000	1.32	0.13%		
RTG	45,000	59,400	1.32	0.12%		
VENTURE	40,000	52,600	1.315	0.10%		
TRITON	40,000	53,600	1.34	0.10%		
KINGS	40,000	52,000	1.3	0.10%		
E_CHUA	35,000	46,050	1.3157	0.09%		
GD_TAN	30,000	40,500	1.35	0.08%		
OPTIMUM	25,000	32,500	1.3	0.06%		
IMPERIAL	20,000	26,000	1.3	0.05%		
FIRSTRES	20,000	26,000	1.3	0.05%		
UCPB	20,000	25,800	1.29	0.05%		
DAMARKET	10,000	13,600	1.36	0.03%		
F_ORIENT	10,000	13,000	1.3	0.03%		
VCSEC	10,000	12,800	1.28	0.02%		
LARRGO	10,000	13,200	1.32	0.03%		
PAPA	7,000	8,890	1.27	0.02%		
CHIBSEC	5,000	6,500	1.3	0.01%		
G_LINK	2,000	2,680	1.34	0.01%		
