131.5	20	0.00%	10		10	2
131.6	220	0.02%			220	2
131.7	250	0.03%	240		10	4
131.8	5,230	0.58%	270		4,960	25
131.9	5,160	0.57%	1,850		3,310	44
132	51,230	5.64%	29,890		21,340	237
132.1	11,560	1.27%	7,380		4,180	83
132.2	1,810	0.20%	900		910	44
132.3	2,700	0.30%	830		1,870	42
132.4	4,140	0.46%	2,670		1,470	63
132.5	15,330	1.69%	5,120		10,210	107
132.6	19,370	2.13%	14,840		4,530	142
132.7	15,410	1.70%	11,990		3,420	64
132.8	290	0.03%	150		140	10
132.9	2,900	0.32%	1,630		1,270	27
133	31,960	3.52%	6,410		25,550	221
133.1	15,590	1.72%	10,930		4,660	135
133.2	18,090	1.99%	6,310		11,780	111
133.3	22,460	2.47%	4,830		17,630	175
133.4	39,670	4.37%	8,990		30,680	401
133.5	68,290	7.52%	14,910	3,000	50,380	373
133.6	92,630	10.21%	85,210		7,420	364
133.7	5,320	0.59%	3,750		1,570	52
133.8	9,960	1.10%	4,490	1,000	4,470	127
133.9	33,070	3.64%	8,800		24,270	329
134	69,070	7.61%	65,950		3,120	115
134.1	230	0.03%	230			3
134.2	1,840	0.20%			1,840	11
134.4	3,030	0.33%	3,020		10	6
134.5	20,330	2.24%	6,310		14,020	12
134.6	2,420	0.27%	990		1,430	24
134.7	1,630	0.18%	800		830	8
134.8	7,390	0.81%	1,090		6,300	48
134.9	12,600	1.39%	7,830		4,770	55
135	316,470	34.87%	206,900	30,000	79,570	152
